id,citation_key,year,title,venue,peer_reviewed,primary_task,geography,australian_study,spatial_unit,temporal_unit,detection_or_monitoring_target,detection_latency_or_horizon,sensors_and_data_sources,data_fusion,model,baselines,validation,metrics,explainability,uncertainty,code_data,main_finding,limitations,candidate_gap_relevance,status,url,doi
1,Singh2025Active,2025,"Active wildfire detection via satellite imagery and machine learning: an empirical investigation of Australian wildfires","Natural Hazards",yes,active-fire detection,"Wolgan Valley NSW Australia",yes,pixel/scene,event-time,active fire and burned-area classes,scene-based,Landsat-8 spectral bands and NDFI,band-level,SVM,index-based detection,Australian case study,classification metrics and spectral discrimination,no explicit XAI,no explicit calibration,open-access article,"SWIR NIR and NDFI support active-fire discrimination in an NSW case study","Single locality; Landsat revisit limits near-real-time monitoring; abstract does not establish cross-event generalisation","Shows an Australian baseline but leaves room for temporal multi-sensor monitoring and reliability analysis",abstract-screened,https://doi.org/10.1007/s11069-025-07163-w,10.1007/s11069-025-07163-w
2,Zhang2021DCPA,2021,"Towards a deep-learning-based framework of Sentinel-2 imagery for automated active fire detection","Remote Sensing",yes,active-fire detection,"Eastern Australia and western United States",yes,pixel/scene,event-time,active-fire segmentation,Sentinel-2 acquisition cycle,Sentinel-2 and semi-manual labels,within-sensor,DCPA+HRNetV2,deep segmentation comparators,"Tests in Australia and United States",IoU,no explicit operational explanation,no calibrated uncertainty,"Benchmark dataset described","Automated framework reported about 6 minutes processing for 12000 square kilometres and IoU around 70–72%","Semi-manual labels; Sentinel-2 revisit/cloud constraints; limited evidence of uncertainty and unseen-event robustness","Strong closest Australian/global comparator; motivates cross-region reliability and temporal fusion",abstract-screened,https://doi.org/10.3390/rs13234790,10.3390/rs13234790
3,RealTimeVIIRSHimawari2023,2023,"Real-Time Wildfire Detection Algorithm Based on VIIRS Fire Product and Himawari-8 Data","Remote Sensing",yes,active-fire detection,"Australia",yes,pixel,near-real-time,active-fire hotspot,geostationary observation cycle,"VIIRS fire product and Himawari-8",cross-sensor,label-transfer/contextual algorithm,VIIRS/MODIS-style contextual algorithms,Australian validation,detection/false-alarm measures,no explicit XAI,confidence inherited from fire products,no code confirmed,"Combines VIIRS reference information with high-frequency Himawari-8 observations for real-time detection","Machine-learning labels can be labour-intensive or noisy; performance depends on cross-sensor alignment and contextual thresholds","Very close prior art; any fusion proposal must add a distinct reliability/generalisation contribution",abstract-screened,https://doi.org/10.3390/rs15061541,10.3390/rs15061541
4,Jones2020Himawari,2020,"Active Fire Detection Using the Himawari-8 Satellite: Final Project Report","Bushfire and Natural Hazards CRC",no,operational active-fire monitoring,"NSW and Victoria Australia",yes,hotspot,10-minute-class monitoring,operational hotspot alert,near-real-time,Himawari-8 with operational reference data,operational integration,contextual detection/operational system,existing hotspot services,"NSW/Victoria operational trial",operational detection reporting,no model explanation described,operational confidence/quality handling,public report,"Demonstrated an operational Himawari-8 hotspot trial delivering detections to Australian fire agencies","Technical report rather than peer-reviewed model study; operational constraints and complete validation details require full-text extraction","Establishes that basic Himawari monitoring in NSW is not novel; reliability improvements must be explicit",full-text-pending,https://www.bnhcrc.com.au/sites/default/files/managed/downloads/active_fire_detection_using_the_himawari-8_satellite_final_project_report.pdf,
5,Giglio2003MODIS,2003,"An Enhanced Contextual Fire Detection Algorithm for MODIS","Remote Sensing of Environment",yes,active-fire detection,global,no,MODIS pixel,satellite overpass,thermal anomaly,overpass-based,MODIS thermal bands,within-sensor,contextual threshold algorithm,earlier MODIS algorithm,"Simulation and high-resolution validation across biomes",detection and false-alarm rates,rule-transparent confidence tests,confidence classes rather than probabilistic calibration,no code,"Improved sensitivity to smaller/cooler fires and reduced persistent false alarms","Fixed contextual rules remain sensitive to background conditions and sensor resolution","Essential baseline and source of false-alarm taxonomy",full-text-available,https://doi.org/10.1016/S0034-4257(03)00184-6,10.1016/S0034-4257(03)00184-6
6,Schroeder2014VIIRS,2014,"The New VIIRS 375 m Active Fire Detection Data Product: Algorithm Description and Initial Assessment","Remote Sensing of Environment",yes,active-fire detection,global,no,375-m pixel,satellite overpass,thermal anomaly,overpass-based,VIIRS I-band and M-band,within-sensor,contextual active-fire algorithm,MODIS product,initial multi-region assessment,detection and commission errors,rule-based flags,confidence categories,no code,"VIIRS improves sensitivity to smaller and cooler fires compared with coarser products","Polar-orbit revisit and cloud/smoke obstruction remain; confidence is not end-to-end calibrated probability","Provides label/reference product and operational baseline",full-text-pending,https://doi.org/10.1016/j.rse.2013.12.008,10.1016/j.rse.2013.12.008
7,Giglio2016MODIS,2016,"The Collection 6 MODIS active fire detection algorithm and fire products","Remote Sensing of Environment",yes,active-fire detection,global,no,MODIS pixel,satellite overpass,active fire and FRP,overpass-based,MODIS,within-sensor,contextual algorithm,earlier MODIS collections,global product validation,detection/commission and FRP quality,rule-based quality information,product uncertainty discussion,public product documentation,"Collection 6 updates a long-running global operational fire product","One-kilometre-class product and limited daily overpasses miss small or short-lived events","Defines an operational baseline and known sensor constraints",full-text-available,https://doi.org/10.1016/j.rse.2016.02.054,10.1016/j.rse.2016.02.054
8,Rad2024ViT,2024,"Remote Wildfire Detection using Multispectral Satellite Imagery and Vision Transformers","Proceedings of Machine Learning Research",yes,active-fire detection,"North America",no,pixel/patch,scene-based,wildfire/non-wildfire region,scene-based,multispectral satellite imagery,band-level,U-shaped vision transformer,CNN/segmentation baselines,held-out imagery,segmentation/classification metrics,attention not validated as explanation,no calibrated uncertainty,open PDF,"Vision transformer captures spatial dependencies in multispectral imagery","Regional scope; operational latency cross-sensor transfer and calibration are not central","Shows that use of a transformer alone is not novel",full-text-available,https://proceedings.mlr.press/v222/rad24a.html,
9,Kondylatos2024Review,2024,"Advancements in remote sensing for active fire detection: A review of datasets and methods","Science of the Total Environment",yes,review,global,no,not applicable,not applicable,active-fire detection,not applicable,"Multiple satellite datasets and methods",reviewed,review taxonomy,not applicable,systematic/narrative evidence synthesis,not applicable,recommends interpretable models,identifies uncertainty/data-quality needs,not applicable,"Highlights multimodal learning spatiotemporal models self-supervision interpretability and data-quality management as open directions","Review recommendations do not prove that every combination is absent in Australia","Primary source for candidate-gap framing and search expansion",abstract-screened,https://doi.org/10.1016/j.scitotenv.2024.173273,10.1016/j.scitotenv.2024.173273
10,Barco2024SSL,2024,"Rapid Wildfire Hotspot Detection Using Self-Supervised Learning on Temporal Remote Sensing Data","arXiv preprint",no,hotspot detection,"European fire events",no,pixel/time-series,multi-temporal,thermal hotspot,potential near-real-time,temporal remote-sensing data,multi-temporal,self-supervised representation model,supervised/standard comparators,event-based experiments,detection metrics,representation interpretation limited,no explicit calibrated uncertainty,dataset/model availability to verify,"Uses self-supervised temporal representations to reduce dependence on labels","Preprint; European events; calibration and Australian transfer require evaluation","Supports studying label efficiency and geographic transfer rather than generic temporal modelling",abstract-screened,https://arxiv.org/abs/2405.20093,
11,Huang2024Sen2Fire,2024,"Sen2Fire: A Challenging Benchmark Dataset for Wildfire Detection using Sentinel Data","arXiv preprint",no,dataset/active-fire detection,multiple regions,no,pixel/patch,scene-based,active-fire class,Sentinel acquisition cycle,Sentinel multispectral data,dataset assembly,multiple benchmark models,benchmark baselines,benchmark splits,classification/segmentation metrics,no,no,benchmark dataset,"Introduces a wildfire-detection benchmark intended to support model comparison","Preprint and benchmark distribution may not represent Australian operational conditions","Potential external pretraining/benchmark source; must test Australian transfer",abstract-screened,https://arxiv.org/abs/2403.17884,
12,Khanna2024TSSatFire,2024,"TS-SatFire: A Multi-Task Satellite Image Time-Series Dataset for Wildfire Detection and Prediction","arXiv preprint",no,"detection monitoring and next-day prediction","United States",no,pixel/time-series,daily,"active fire daily monitoring and next-day fire",daily,multi-temporal satellite imagery,time-series/multi-task,multi-task deep models,task-specific baselines,temporal splits to verify,multi-task metrics,no explicit operational XAI,no explicit calibration,dataset described,"Unifies active detection daily monitoring and next-day prediction in one temporal dataset","Preprint; US geography; task definitions and validation require full-text review","Useful benchmark for defining monitoring and temporal models; transfer to Australia is open",abstract-screened,https://arxiv.org/abs/2412.11555,
